"","uni","metric","metrix","stage","col","metrics","r2","pval"
"545","Tau2.5.2","Tau2",5,5,3,"Tau2.5.2",0.237530690857696,0.00899401214371251
"413","ABQ.18.1","ABQ",8,18,2,"ABQ.18.1",0.237506259736063,0.00900129334978681
"392","Tau2.16.1","Tau2",5,16,2,"Tau2.16.1",0.236931857749458,0.00917398620288186
"272","Sigma.3.1","Sigma",2,3,2,"Sigma.3.1",-0.235457623567873,0.00963064122620118
"248","Tau2.28.0","Tau2",5,28,1,"Tau2.28.0",0.232582379316787,0.0105791405752511
"24","NPQ.3.0","NPQ",6,3,1,"NPQ.3.0",-0.232065327601825,0.0107581461194305
"455","Tau2.23.1","Tau2",5,23,2,"Tau2.23.1",0.231702594778276,0.0108853072011801
"599","Tau2.11.2","Tau2",5,11,3,"Tau2.11.2",0.231388885647208,0.0109963438382077
"783","qm.3.3","qm",9,3,4,"qm.3.3",0.230373373985055,0.0113626244566277
"932","Tau2.20.3","Tau2",5,20,4,"Tau2.20.3",0.230282464174795,0.0113959299091307
"584","ABQ.9.2","ABQ",8,9,3,"ABQ.9.2",0.229189981376113,0.0118029101121452
"157","Tau1.18.0","Tau1",4,18,1,"Tau1.18.0",0.228453050822828,0.0120845726873542
"323","ABQ.8.1","ABQ",8,8,2,"ABQ.8.1",0.228263865902526,0.0121578230360312
"34","qP.4.0","qP",7,4,1,"qP.4.0",-0.227380536314843,0.0125050030981441
"500","Tau2.28.1","Tau2",5,28,2,"Tau2.28.1",0.224057406178546,0.0138899269073501
"922","Tau1.19.3","Tau1",4,19,4,"Tau1.19.3",0.223061841611961,0.0143300455397742
"760","Tau1.1.3","Tau1",4,1,4,"Tau1.1.3",0.219941499842102,0.0157890934224731
"251","ABQ.28.0","ABQ",8,28,1,"ABQ.28.0",0.219661278669176,0.0159262232475107
"193","Tau1.22.0","Tau1",4,22,1,"Tau1.22.0",0.219657670190285,0.0159279958238707
"377","ABQ.14.1","ABQ",8,14,2,"ABQ.14.1",-0.21524060550823,0.0182303500599203
"25","qP.3.0","qP",7,3,1,"qP.3.0",-0.215208898330374,0.0182478658192438
"875","Sigma.14.3","Sigma",2,14,4,"Sigma.14.3",0.214590717632722,0.0185922807164254
"442","Quant.22.1","Quant",1,22,2,"Quant.22.1",-0.21410190387481,0.0188685814476532
"940","Tau1.21.3","Tau1",4,21,4,"Tau1.21.3",0.213628010756694,0.0191398255476313
"832","Tau1.9.3","Tau1",4,9,4,"Tau1.9.3",0.213271228653288,0.0193462524956385
"140","Tau2.16.0","Tau2",5,16,1,"Tau2.16.0",0.213265273510252,0.0193497142537979
"230","Tau2.26.0","Tau2",5,26,1,"Tau2.26.0",0.21276575221205,0.0196419975138337
"238","Tau1.27.0","Tau1",4,27,1,"Tau1.27.0",0.211575221471572,0.0203539981984757
"962","ABQ.23.3","ABQ",8,23,4,"ABQ.23.3",0.209071250502655,0.0219243302158157
"422","ABQ.19.1","ABQ",8,19,2,"ABQ.19.1",0.20902857759747,0.0219519693896736
"176","Tau2.20.0","Tau2",5,20,1,"Tau2.20.0",0.208454055513452,0.0223270100805406
"153","qm.17.0","qm",9,17,1,"qm.17.0",0.204068346148736,0.0253754132330738
"637","qP.15.2","qP",7,15,3,"qP.15.2",-0.20201564667474,0.0269201815518637
"143","ABQ.16.0","ABQ",8,16,1,"ABQ.16.0",0.201956736189667,0.0269656727007761
"29","Sigma.4.0","Sigma",2,4,1,"Sigma.4.0",-0.201897216049234,0.0270117011497143
"206","ABQ.23.0","ABQ",8,23,1,"ABQ.23.0",0.201857448808551,0.0270424914725056
"779","Tau2.3.3","Tau2",5,3,4,"Tau2.3.3",0.201451991139598,0.0273581332356654
"131","Tau2.15.0","Tau2",5,15,1,"Tau2.15.0",0.200344380998734,0.0282364269522669
"320","Tau2.8.1","Tau2",5,8,2,"Tau2.8.1",0.19974510656134,0.0287215495591308
"445","Tau1.22.1","Tau1",4,22,2,"Tau1.22.1",0.198476460490561,0.0297719532820119
"347","Tau2.11.1","Tau2",5,11,2,"Tau2.11.1",0.198165025120934,0.0300347413524597
"277","qP.3.1","qP",7,3,2,"qP.3.1",-0.197954085341781,0.0302138473852231
"113","Tau2.13.0","Tau2",5,13,1,"Tau2.13.0",0.195871801190696,0.032031019403498
"440","ABQ.21.1","ABQ",8,21,2,"ABQ.21.1",0.193921110847922,0.0338164173264523
"572","Tau2.8.2","Tau2",5,8,3,"Tau2.8.2",0.193471652624206,0.0342394910040059
"524","Sigma.3.2","Sigma",2,3,3,"Sigma.3.2",-0.193294778978704,0.0344072017022998
"185","Tau2.21.0","Tau2",5,21,1,"Tau2.21.0",0.191710297598285,0.0359407390570724
"671","Tau2.19.2","Tau2",5,19,3,"Tau2.19.2",0.190474480478474,0.0371764012202657
"242","ABQ.27.0","ABQ",8,27,1,"ABQ.27.0",0.19024544323037,0.0374092876198405
"365","Tau2.13.1","Tau2",5,13,2,"Tau2.13.1",0.190109802327419,0.0375477851025601
"428","Tau2.20.1","Tau2",5,20,2,"Tau2.20.1",0.190061506275882,0.0375972021367574
"341","ABQ.10.1","ABQ",8,10,2,"ABQ.10.1",0.189280340765649,0.0384041175270592
"107","ABQ.12.0","ABQ",8,12,1,"ABQ.12.0",-0.187259296187785,0.0405594650700095
"449","ABQ.22.1","ABQ",8,22,2,"ABQ.22.1",0.1853896059554,0.0426426581478102
"149","Tau2.17.0","Tau2",5,17,1,"Tau2.17.0",0.183679271433693,0.0446257990160841
