"","Tsize","rep","R2","RMSE","TvsS","BSm","BTm"
"98",20,98,0.495592563705342,26.0159726570944,4.66367960286972e-05,-41.5536362557895,9.26651805068524
"99",20,99,0.0380990826552653,28.6169328642661,0.511677368710024,-26.4152288989478,-17.6024898797333
"100",20,100,0.123093284256344,20.9575792411463,0.0845396164991901,-35.9160061506568,-17.496637887697
"101",25,1,0.223942261907456,21.8546721095869,0.00193705262401686,-43.4180806055542,-14.0983596948552
"102",25,2,0.279344693801992,23.6065395503478,0.000971948412393462,-46.9622577603026,-7.62842510864571
"103",25,3,0.249418091208376,23.4094385099126,0.000468433762840265,-41.6255649212588,-9.71054393780702
"104",25,4,0.353167731917075,20.327660626267,0.00136378031617326,-37.3997896654411,2.22778512438084
"105",25,5,0.191541861645868,28.9828558528048,0.0103227274663251,-29.3018076343957,7.64674818960469
"106",25,6,0.280111598790613,17.0966464696025,0.00600035970913562,-38.3127036089986,-10.5892502162115
"107",25,7,0.470480521715767,23.1878541100375,2.55235335518695e-05,-46.9830917949546,2.77936322047014
"108",25,8,0.304850676419724,17.8952365729296,0.0627323339332057,-28.8412031000973,-9.16230948481172
"109",25,9,0.402891434368708,19.9785223733196,0.00350560875935182,-46.7122733716681,-7.34515272651802
"110",25,10,0.241099264582394,22.306710032447,0.000862257801392417,-41.4175101555681,-14.3349124407758
"111",25,11,0.399904933412514,20.929561919018,0.000297867400291524,-42.5134269777844,0.0611092788083594
"112",25,12,0.210419096861195,20.3714961408544,0.00804480684901672,-33.4896582363195,-10.3429604892361
"113",25,13,0.288597140693564,23.4294744790054,0.00168796361465312,-42.3815047434332,-8.98464026352777
"114",25,14,0.17154059936328,26.8152241317536,0.00539569917681739,-38.6524891084943,-0.522601888180527
"115",25,15,0.201663755318135,27.1216105690514,0.218038005170229,-25.4242469503106,-8.43121564483996
"116",25,16,0.219710836995863,23.8053597277521,0.000135709541240267,-43.752144782391,-3.23609269328813
"117",25,17,0.180290049231284,19.4705842576564,0.0440053260951763,-37.4366865456157,-13.2039339024431
"118",25,18,0.176027007880322,23.4056669748052,0.0266838736197285,-38.6399183582574,-9.47594563672654
"119",25,19,0.215879792271836,17.7442233544334,0.00718079211582871,-31.3417703156042,-9.47898614935103
"120",25,20,0.411716146293885,22.5055052314393,0.00208358416535842,-37.1967368063898,5.76165758650323
